BARCAŚ	(.|#|)bartsaS(.|#|)
PŚEDWUMĚŃKOMA	(.|#|)pSEdwumjijnkUma(.|#|)
PŚEDWUPADOWAŃSKEJU	(.|#|)pSEdwupadOwajnskeju(.|#|)
PŚEDWUPADOWAŃSKEJU	(.|#|)pSEdwupadowajnskeju(.|#|)
PŚEDWUZWÓLOWANJOW	(.|#|)pSEdwuzwUlOwanjO(.|#|)
PŚEDWUZWÓLOWANJOW	(.|#|)pSEdwuzwUlowanjo(.|#|)
PŚEDWÓJSKA	(.|#|)pSEdwUjska(.|#|)
PŚEDWÓLICHMY	(.|#|)pSEdwUlixm1(.|#|)
PŚEDWÓLICHMY	(.|#|)pSEdwUliCmU(.|#|)
PŚEDWÓTŚIŠĆOJU	(.|#|)pSEdwUtSiStSOju(.|#|)
PŚEDWÓZJAWIJOM	(.|#|)pSEdwUzjawijOm(.|#|)
PŚEDWĚDOMNOSTNU	(.|#|)pSEdwjidOmnOstnu(.|#|)
PŚEDYCHANEJE	(.|#|)pSEd1xanejE(.|#|)
PŚEDZACUŚEJU	(.|#|)pSEdzatsuSeju(.|#|)
PŚEDZASUŹOWANEJU	(.|#|)pSEdzasuZOwaneju(.|#|)
PŚEDZASUŹOWANEJU	(.|#|)pSEdzasuZowaneju(.|#|)
PŚEDZGLĚ	(.|#|)pSEdzglji(.|#|)
PŚEDZGÓTOWANJOW	(.|#|)pSEdzgUtOwanjO(.|#|)
PŚEDZGÓTOWANJOW	(.|#|)pSEdzgUtowanjo(.|#|)
PŚEDZGŁOJU	(.|#|)pSEdzgwOju(.|#|)
PŚEDZMÓCNJAKOW	(.|#|)pSEdzmUtsnjakO(.|#|)
PŚEDZMÓCNJAKOW	(.|#|)pSEdzmUtsnjako(.|#|)
PŚEDZNAMJENYJOŠ	(.|#|)pSEdznamjEn1jOS(.|#|)
PŚEDZWUCOWANJAM	(.|#|)pSEdzwutsOwanjam(.|#|)
PŚEDZWUCOWANJAM	(.|#|)pSEdzwutsowanjam(.|#|)
PŚEDZŁOŽCE	(.|#|)pSEdzwOZtsE(.|#|)
PŚEDŁOŽYT	(.|#|)pSEdwOZ1t(.|#|)
PŚEDŁUŽOWANEM	(.|#|)pSEdwuZOwanEm(.|#|)
PŚEDŁUŽOWANEM	(.|#|)pSEdwuZowanEm(.|#|)
PŚEDŁYPTEJ	(.|#|)pSEdw1ptej(.|#|)
PŚEDŁYPUJUCY	(.|#|)pSEdw1pujuts1(.|#|)
PŚEDŚIŠĆUJOMY	(.|#|)pSEdSiStSujOm1(.|#|)
PŚEDŚIŠĆUJOMY	(.|#|)pSEdSiStSujOmU(.|#|)
PŚEDŠALTOWANU	(.|#|)pSEtSaltOwanu(.|#|)
PŚEDŠALTOWANU	(.|#|)pSEtSaltowanu(.|#|)
PŚEDŠTROFJE	(.|#|)pSEtStrOfjE(.|#|)
PŚEDŠTROFOWANY	(.|#|)pSEtStrOfOwan1(.|#|)
PŚEDŠTROFOWANY	(.|#|)pSEtStrOfowan1(.|#|)
PŚEDŠULSKEJ	(.|#|)pSEtSulskej(.|#|)
PŚEDŹĚŁARKOWU	(.|#|)pSedZjiwarkOwu(.|#|)
PŚEDŹĚŁARKOWU	(.|#|)pSedZjiwarkowu(.|#|)
PŚEDŹĚŁAŔKOWU	(.|#|)pSedZjiwarkOwu(.|#|)
PŚEDŹĚŁAŔKOWU	(.|#|)pSedZjiwarkowu(.|#|)
PŚEDŹĚŁAŚEŔ	(.|#|)pSedZjiwaSEr(.|#|)
PŚEDŽURLOMA	(.|#|)pSEdZurlOma(.|#|)
PŚEEKSERCĚROWANYMI	(.|#|)pSEksErtsjirOwan1mi(.|#|)
PŚEEKSERCĚROWANYMI	(.|#|)pSEksErtsjirowan1mi(.|#|)
PŚEETIKETĚRUJUCYM	(.|#|)pSEtikEtjirujuts1m(.|#|)
PŚEFAKSOWAŠO	(.|#|)pSEfaksOwaSO(.|#|)
PŚEFAKSOWAŠO	(.|#|)pSEfaksowaSO(.|#|)
PŚEFORMOWANIM	(.|#|)pSEfOrmOwanim(.|#|)
PŚEFORMOWANIM	(.|#|)pSEfOrmowanim(.|#|)
PŚEFUGOWAŁEJ	(.|#|)pSEfugOwawej(.|#|)
PŚEFUGOWAŁEJ	(.|#|)pSEfugowawej(.|#|)
PŚEFUGUJMY	(.|#|)pSEfugujm1(.|#|)
PŚEFUGUJMY	(.|#|)pSEfugujmU(.|#|)
PŚEFUTRUJ	(.|#|)pSEfutruj(.|#|)
PŚEGADUJOTEJ	(.|#|)pSEgadujOtej(.|#|)
PŚEGANJANJAM	(.|#|)pSEganjanjam(.|#|)
PŚEGIBAŚ	(.|#|)pSEgibaS(.|#|)
PŚEGIBMY	(.|#|)pSEgibm1(.|#|)
PŚEGIBMY	(.|#|)pSEgibmU(.|#|)
PŚEGJARGAWJONYCH	(.|#|)pSEgjargaujOn1x(.|#|)
PŚEGJARGAWMEJ	(.|#|)pSEgjargaumej(.|#|)
PŚEGJARGAWTEJ	(.|#|)pSEgjargautej(.|#|)
PŚEGJARGAWŚO	(.|#|)pSEgjargauSO(.|#|)
PŚEGLUSKNJONYMA	(.|#|)pSEglusknjOn1ma(.|#|)
PŚEGLUSKNULI	(.|#|)pSEglusknuli(.|#|)
PŚEGLUSKUJMEJ	(.|#|)pSEgluskujmej(.|#|)
PŚEGLĚDAŚ	(.|#|)pSEgljidaS(.|#|)
PŚEGLĚDOWANI	(.|#|)pSEgljidOwani(.|#|)
PŚEGLĚDOWANI	(.|#|)pSEgljidowani(.|#|)
PŚEGNAWAŚ	(.|#|)pSEgnawaS(.|#|)
PŚEGNAŚOW	(.|#|)pSEgnaSO(.|#|)
PŚEGNAŚOW	(.|#|)pSEgnaSo(.|#|)
PŚEGNIJTEJ	(.|#|)pSEgnijtej(.|#|)
PŚEGNIWAŁO	(.|#|)pSEgniwawO(.|#|)
PŚEGNOJCHMY	(.|#|)pSEgnOjxm1(.|#|)
PŚEGNOJCHMY	(.|#|)pSEgnOjxmU(.|#|)
PŚEGRAPSACHU	(.|#|)pSEgrapsaxu(.|#|)
PŚEGROBLICKOWANYCH	(.|#|)pSEgrOblitskOwan1x(.|#|)
PŚEGROBLICKOWANYCH	(.|#|)pSEgrOblitskowan1x(.|#|)
PŚEGROŹUJUCE	(.|#|)pSEgrOZujutsE(.|#|)
PŚEGRUPĚRUJŚO	(.|#|)pSEgrupjirujSO(.|#|)
PŚEGRYZAJMEJ	(.|#|)pSEgr1zajmej(.|#|)
PŚEGRYZOWANEGO	(.|#|)pSEgr1zOwanEgO(.|#|)
PŚEGRYZOWANEGO	(.|#|)pSEgr1zowanEgO(.|#|)
PŚEGRĚBAŠĆO	(.|#|)pSEgrjibaStSO(.|#|)
PŚEGRĚJMY	(.|#|)pSEgrjijm1(.|#|)
PŚEGRĚJMY	(.|#|)pSEgrjijmU(.|#|)
PŚEGRĚŠAŔ	(.|#|)pSEgrjiSar(.|#|)
PŚEGRĚŠYJU	(.|#|)pSEgrjiS1ju(.|#|)
PŚEGUSLOWANU	(.|#|)pSEguslOwanu(.|#|)
PŚEGUSLOWANU	(.|#|)pSEguslowanu(.|#|)
PŚEGÓDNOŚUJŚO	(.|#|)pSEgUdnOSujSO(.|#|)
PŚEGÓNJOWARJAMI	(.|#|)pSEgUnjOwarjami(.|#|)
PŚEGÓNJOWARJAMI	(.|#|)pSEgUnjowarjami(.|#|)
PŚEGÓRCYŚ	(.|#|)pSEgUrts1S(.|#|)
PŚEGÓRICH	(.|#|)pSEgUrix(.|#|)
PŚEGÓRICH	(.|#|)pSEgUriC(.|#|)
PŚEGÓSPODARJOWANJACH	(.|#|)pSEgUspOdarjOwanjax(.|#|)
PŚEGÓSPODARJOWANJACH	(.|#|)pSEgUspOdarjowanjax(.|#|)
PŚEGÓTOWANA	(.|#|)pSEgUtOwana(.|#|)
PŚEGÓTOWANA	(.|#|)pSEgUtowana(.|#|)
PŚEGÓŃŚO	(.|#|)pSEgUjnSO(.|#|)
PŚEGÓŔMY	(.|#|)pSEgUrm1(.|#|)
PŚEGÓŔMY	(.|#|)pSEgUrmU(.|#|)
PŚEGÓŚE	(.|#|)pSEgUSE(.|#|)
PŚEGŁODNJECHMY	(.|#|)pSEgwOdn(j|)Exm1(.|#|)
PŚEGŁODNJECHMY	(.|#|)pSEgwOdn(j|)ECmU(.|#|)
PŚEGŁOSOWAŚ	(.|#|)pSEgwOsOwaS(.|#|)
PŚEGŁOSOWAŚ	(.|#|)pSEgwOsowaS(.|#|)
PŚEGŁUPEGO	(.|#|)pSEgwupEgO(.|#|)
PŚEGŁUPYMI	(.|#|)pSEgwup1mi(.|#|)
PŚEIKSUJUCY	(.|#|)pSEiksujuts1(.|#|)
PŚEINTERPRETĚROWA	(.|#|)pSEintErprEtjirOwa(.|#|)
PŚEINTERPRETĚROWA	(.|#|)pSEintErprEtjirowa(.|#|)
PŚEJACHLONU	(.|#|)pSejaxlOnu(.|#|)
PŚEJASNIŁEJ	(.|#|)pSejasniwej(.|#|)
PŚEJDU	(.|#|)pSejdu(.|#|)
PŚEJEBANIM	(.|#|)pSejEbanim(.|#|)
PŚEJEBNUŠTEJ	(.|#|)pSejEbnuStej(.|#|)
PŚEJEBTEJ	(.|#|)pSejEbtej(.|#|)
PŚEJGRAWAJUCYMI	(.|#|)pSejgrawajuts1mi(.|#|)
PŚEJM	(.|#|)pSejm(.|#|)
PŚEJMAJTEJ	(.|#|)pSejmajtej(.|#|)
PŚEJMALI	(.|#|)pSejmali(.|#|)
PŚEJMATEJ	(.|#|)pSejmatej(.|#|)
PŚEJMJEŚ	(.|#|)pSejmjES(.|#|)
PŚEJMĚWAJUCA	(.|#|)pSejmjiwajutsa(.|#|)
PŚEJĚCHANJOWU	(.|#|)pSejjiCanjOwu(.|#|)
PŚEJĚCHANJOWU	(.|#|)pSejjiCanjowu(.|#|)
PŚEJĚDU	(.|#|)pSejjidu(.|#|)
PŚEJĚLI	(.|#|)pSejjili(.|#|)
PŚEJĚM	(.|#|)pSejjim(.|#|)
PŚEJĚSNIŚ	(.|#|)pSejjisniS(.|#|)
PŚEJĚSTEJ	(.|#|)pSejjistej(.|#|)
PŚEJĚT	(.|#|)pSejjit(.|#|)
PŚEJĚZD	(.|#|)pSejjizt(.|#|)
PŚEJĚZDACH	(.|#|)pSejjizdax(.|#|)
PŚEJĚZDAM	(.|#|)pSejjizdam(.|#|)
PŚEJĚZDKI	(.|#|)pSejjiztki(.|#|)
PŚEJĚZDNYM	(.|#|)pSejjizdn1m(.|#|)
PŚEJĚZDŹIŠĆO	(.|#|)pSejjizdZiStSO(.|#|)
PŚEJĚZDŹUJUCEJU	(.|#|)pSejjizdZujutseju(.|#|)
PŚEJĚŁ	(.|#|)pSejji(.|#|)
PŚEJĚŚ	(.|#|)pSejjiS(.|#|)
PŚEJĚŹO	(.|#|)pSejjiZO(.|#|)
PŚEJŚ	(.|#|)pSejS(.|#|)
PŚEJŚCHADACH	(.|#|)pSejSxadax(.|#|)
PŚEJŠŁEGO	(.|#|)pSejSwEgO(.|#|)
PŚEJŠŁEM	(.|#|)pSejSwEm(.|#|)
PŚEJŠŁU	(.|#|)pSejSwu(.|#|)
PŚEJŠŁY	(.|#|)pSejSw1(.|#|)
PŚEJŠŁYCH	(.|#|)pSejSw1x(.|#|)
PŚEJŠŁYMA	(.|#|)pSejSw1ma(.|#|)
PŚEJŹ	(.|#|)pSejZ(.|#|)
PŚEJŹONEJ	(.|#|)pSejZOnej(.|#|)
PŚEKASAŃCOM	(.|#|)pSEkasajntsOm(.|#|)
PŚEKASOWACHU	(.|#|)pSEkasOwaxu(.|#|)
PŚEKASOWACHU	(.|#|)pSEkasowaxu(.|#|)
PŚEKAZMY	(.|#|)pSEkazm1(.|#|)
PŚEKAZMY	(.|#|)pSEkazmU(.|#|)
PŚEKAZUJŚO	(.|#|)pSEkazujSO(.|#|)
PŚEKAŁNUŚ	(.|#|)pSEkawnuS(.|#|)
PŚEKAŁOWAŠTEJ	(.|#|)pSEkawOwaStej(.|#|)
PŚEKAŁOWAŠTEJ	(.|#|)pSEkawowaStej(.|#|)
PŚEKAŠLOWANJOWU	(.|#|)pSEkaSlOwanjOwu(.|#|)
PŚEKAŠLOWANJOWU	(.|#|)pSEkaSlowanjowu(.|#|)
PŚEKAŠOŠ	(.|#|)pSEkaSOS(.|#|)
PŚEKAŹILI	(.|#|)pSEkaZili(.|#|)
PŚEKAŹUJUCYMI	(.|#|)pSEkaZujuts1mi(.|#|)
PŚEKIDUJOŚO	(.|#|)pSEkidujOSO(.|#|)
PŚEKIPANYCH	(.|#|)pSEkipan1x(.|#|)
PŚEKIPNEJ	(.|#|)pSEkipnej(.|#|)
PŚEKIPNY	(.|#|)pSEkipn1(.|#|)
PŚEKIPUJUCY	(.|#|)pSEkipujuts1(.|#|)
PŚEKISUJMEJ	(.|#|)pSEkisujmej(.|#|)
PŚEKIWAT	(.|#|)pSEkiwat(.|#|)
PŚEKIŠTEJ	(.|#|)pSEkiStej(.|#|)
PŚEKJAWKALI	(.|#|)pSEkjaukali(.|#|)
PŚEKJAWKANYMA	(.|#|)pSEkjaukan1ma(.|#|)
PŚEKLAPKU	(.|#|)pSEklapku(.|#|)
PŚEKLEPCĆO	(.|#|)pSEklEptstSO(.|#|)
PŚEKLINCAŚ	(.|#|)pSEklintsaS(.|#|)
PŚEKLINJENIM	(.|#|)pSEklin(j|)Enim(.|#|)
PŚEKNABOTALI	(.|#|)pSEknabOtali(.|#|)
PŚEKNEBLOWANY	(.|#|)pSEknEblOwan1(.|#|)
PŚEKNEBLOWANY	(.|#|)pSEknEblowan1(.|#|)
PŚEKNIGŁOWANJAMI	(.|#|)pSEknigwOwanjami(.|#|)
PŚEKNIGŁOWANJAMI	(.|#|)pSEknigwowanjami(.|#|)
PŚEKNIGŁUJUCYM	(.|#|)pSEknigwujuts1m(.|#|)
PŚEKOMUŹENJE	(.|#|)pSEkOmuZEn(j|)E(.|#|)
PŚEKOMUŹENJE	(.|#|)pSEkUmuZEn(j|)E(.|#|)
PŚEKOŁKUJOTEJ	(.|#|)pSEkOukujOtej(.|#|)
PŚEKOŁKUJOTEJ	(.|#|)pSEkoukujOtej(.|#|)
PŚEKROTCONEM	(.|#|)pSEkrOttsOnEm(.|#|)
PŚEKROTCUJUCYCH	(.|#|)pSEkrOttsujuts1x(.|#|)
PŚEKUBŁACHMY	(.|#|)pSEkubwaxm1(.|#|)
PŚEKUBŁACHMY	(.|#|)pSEkubwaxmU(.|#|)
PŚEKULALI	(.|#|)pSEkulali(.|#|)
PŚEKUPCARCE	(.|#|)pSEkuptsartsE(.|#|)
PŚEKUPMY	(.|#|)pSEkupm1(.|#|)
PŚEKUPMY	(.|#|)pSEkupmU(.|#|)
PŚEKUPSTWAMI	(.|#|)pSEkupstwami(.|#|)
PŚEKUPSTWOWNIKOWU	(.|#|)pSEkupstwOunikOwu(.|#|)
PŚEKUPSTWOWNIKOWU	(.|#|)pSEkupstwounikowu(.|#|)
PŚEKURJENJOMA	(.|#|)pSEkur(j|)EnjOma(.|#|)
PŚEKUSAJOŚO	(.|#|)pSEkusajOSO(.|#|)
PŚEKUSAJTEJ	(.|#|)pSEkusajtej(.|#|)
PŚEKUSANYMA	(.|#|)pSEkusan1ma(.|#|)
PŚEKUSNJOMEJ	(.|#|)pSEkusnjOmej(.|#|)
PŚEKUŔ	(.|#|)pSEkur(.|#|)
PŚEKWAKUJUCE	(.|#|)pSEkwakujutsE(.|#|)
PŚEKWICANJA	(.|#|)pSEkwitsanja(.|#|)
PŚEKWIŚMY	(.|#|)pSEkwiSm1(.|#|)
PŚEKWIŚMY	(.|#|)pSEkwiSmU(.|#|)
PŚEKWIŚOŠ	(.|#|)pSEkwiSOS(.|#|)
PŚEKWIŚTEJ	(.|#|)pSEkwiStej(.|#|)
PŚEKÓRTOWANJEJU	(.|#|)pSEkUrtOwan(j|)eju(.|#|)
PŚEKÓRTOWANJEJU	(.|#|)pSEkUrtowan(j|)eju(.|#|)
PŚEKÓSTKOWANA	(.|#|)pSEkUstkOwana(.|#|)
PŚEKÓSTKOWANA	(.|#|)pSEkUstkowana(.|#|)
PŚEKŁADUJU	(.|#|)pSEkwaduju(.|#|)
PŚEKŁAST	(.|#|)pSEkwast(.|#|)
PŚEKŁAŹOMEJ	(.|#|)pSEkwaZOmej(.|#|)
PŚEKŁAŹOTEJ	(.|#|)pSEkwaZOtej(.|#|)
PŚEKŁOŚENJU	(.|#|)pSEkwOSEnju(.|#|)
PŚEKŚICNUT	(.|#|)pSEkSitsnut(.|#|)
PŚEKŚICOWANJAMI	(.|#|)pSEkSitsOwanjami(.|#|)
PŚEKŚICOWANJAMI	(.|#|)pSEkSitsowanjami(.|#|)
PŚEKŚICTEJ	(.|#|)pSEkSitstej(.|#|)
PŚEKŚICYLI	(.|#|)pSEkSits1li(.|#|)
PŚEKŚIKNUŠĆO	(.|#|)pSEkSiknuStSO(.|#|)
PŚEKŚIWŹIJOŠ	(.|#|)pSEkSiuZijOS(.|#|)
PŚEKŚIWŹILI	(.|#|)pSEkSiuZili(.|#|)
PŚEKŚIWŹIŁO	(.|#|)pSEkSiuZiwO(.|#|)
PŚEKŚĚTACH	(.|#|)pSEkSjitax(.|#|)
PŚEKŠASENJAM	(.|#|)pSEkSasEnjam(.|#|)
PŚEKŠASNEJE	(.|#|)pSEkSasnejE(.|#|)
PŚEKŠASNIJU	(.|#|)pSEkSasniju(.|#|)
PŚEKŠASNIŁ	(.|#|)pSEkSasniu(.|#|)
PŚEKŠASNJUJMY	(.|#|)pSEkSasnjujm1(.|#|)
PŚEKŠASNJUJMY	(.|#|)pSEkSasnjujmU(.|#|)
PŚEKŠASYJU	(.|#|)pSEkSas1ju(.|#|)
PŚEKŠASYŁO	(.|#|)pSEkSas1wO(.|#|)
PŚEKŠASYŠTEJ	(.|#|)pSEkSas1Stej(.|#|)
PŚEKŠAWŚO	(.|#|)pSEkSauSO(.|#|)
PŚEKŠOCENJOMA	(.|#|)pSEkSOtsEnjOma(.|#|)
PŚEKŠOCUJUCYM	(.|#|)pSEkSOtsujuts1m(.|#|)
PŚEKŠYCHMEJ	(.|#|)pSEkS1xmej(.|#|)
PŚEKŠYWAŚO	(.|#|)pSEkS1waSO(.|#|)
PŚEKŠYŠTEJ	(.|#|)pSEkS1Stej(.|#|)
PŚELABOWAT	(.|#|)pSElabOwat(.|#|)
PŚELABOWAT	(.|#|)pSElabowat(.|#|)
PŚELASĆIŁEJ	(.|#|)pSElastSiwej(.|#|)
PŚELAZOWANJACH	(.|#|)pSElazOwanjax(.|#|)
PŚELAZOWANJACH	(.|#|)pSElazowanjax(.|#|)
PŚELEJMY	(.|#|)pSElejm1(.|#|)
PŚELEJMY	(.|#|)pSElejmU(.|#|)
PŚELEJTEJ	(.|#|)pSElejtej(.|#|)
PŚELEWATYM	(.|#|)pSElEwat1m(.|#|)
PŚELEWUJOMY	(.|#|)pSElEwujOm1(.|#|)
PŚELEWUJOMY	(.|#|)pSElEwujOmU(.|#|)
PŚELEŚIJO	(.|#|)pSElESijO(.|#|)
PŚELIBOTAT	(.|#|)pSElibOtat(.|#|)
PŚELICBAM	(.|#|)pSElitsbam(.|#|)
PŚELIPIŠTEJ	(.|#|)pSElipiStej(.|#|)
PŚELIZNUŚ	(.|#|)pSEliznuS(.|#|)
PŚELIZOWANJAMI	(.|#|)pSElizOwanjami(.|#|)
PŚELIZOWANJAMI	(.|#|)pSElizowanjami(.|#|)
PŚELIŃ	(.|#|)pSElin(.|#|)
PŚELIŽOŠ	(.|#|)pSEliZOS(.|#|)
PŚELODOWAŃSKEGO	(.|#|)pSElOdOwajnskEgO(.|#|)
PŚELODOWAŃSKEGO	(.|#|)pSElOdowajnskEgO(.|#|)
PŚELUBYMA	(.|#|)pSElub1ma(.|#|)
PŚELUDNJONYM	(.|#|)pSEludnjOn1m(.|#|)
PŚELUFTOWAŁ	(.|#|)pSEluftOwau(.|#|)
PŚELUFTOWAŁ	(.|#|)pSEluftowau(.|#|)
PŚELUFTUJUCA	(.|#|)pSEluftujutsa(.|#|)
PŚELUTOWALI	(.|#|)pSElutOwali(.|#|)
PŚELUTOWALI	(.|#|)pSElutowali(.|#|)
PŚELUŠTNIJOM	(.|#|)pSEluStnijOm(.|#|)
PŚELUŠTNJENJAM	(.|#|)pSEluStn(j|)Enjam(.|#|)
PŚELUŠTOWAŁA	(.|#|)pSEluStOwawa(.|#|)
PŚELUŠTOWAŁA	(.|#|)pSEluStowawa(.|#|)
PŚELĚBGOŹENJU	(.|#|)pSEljibgOZEnju(.|#|)
PŚELĚKNJONU	(.|#|)pSEljiknjOnu(.|#|)
PŚELĚPŠATEJ	(.|#|)pSEljipSatej(.|#|)
PŚELĚPŠAŚ	(.|#|)pSEljipSaS(.|#|)
PŚELĚPŠOWAŚ	(.|#|)pSEljipSOwaS(.|#|)
PŚELĚPŠOWAŚ	(.|#|)pSEljipSowaS(.|#|)
PŚELĚTOW	(.|#|)pSEljitO(.|#|)
PŚELĚTOW	(.|#|)pSEljito(.|#|)
PŚELĚTOWAŚ	(.|#|)pSEljitOwaS(.|#|)
PŚELĚTOWAŚ	(.|#|)pSEljitowaS(.|#|)
PŚELĚWICARSKEJE	(.|#|)pSEljiwitsarskejE(.|#|)
PŚELĚWICAŔSKEJE	(.|#|)pSEljiwitsarskejE(.|#|)
PŚELĚZCE	(.|#|)pSEljiztsE(.|#|)
PŚELĚZCE	(.|#|)pSEl1ztsE(.|#|)
PŚELĚZLI	(.|#|)pSEljizli(.|#|)
PŚELĚZLI	(.|#|)pSEl1zli(.|#|)
PŚELĚZOWANJA	(.|#|)pSEljizOwanja(.|#|)
PŚELĚZOWANJA	(.|#|)pSEl1zowanja(.|#|)
PŚELĚŚE	(.|#|)pSEljiSE(.|#|)
PŚEMACATEJ	(.|#|)pSEmatsatej(.|#|)
PŚEMAGANJAM	(.|#|)pSEmaganjam(.|#|)
PŚEMARZNIMY	(.|#|)pSEmarznim1(.|#|)
PŚEMARZNIMY	(.|#|)pSEmarznimU(.|#|)
PŚEMAWAŚ	(.|#|)pSEmawaS(.|#|)
PŚEMAWCHANYMA	(.|#|)pSEmauxan1ma(.|#|)
PŚEMAZNJENJOWU	(.|#|)pSEmazn(j|)EnjOwu(.|#|)
PŚEMAZNJENJOWU	(.|#|)pSEmazn(j|)Enjowu(.|#|)
PŚEMAŁO	(.|#|)pSEmawO(.|#|)
PŚEMAŽĆO	(.|#|)pSEmaZtSO(.|#|)
PŚEMITOWANI	(.|#|)pSEmitOwani(.|#|)
PŚEMITOWANI	(.|#|)pSEmitowani(.|#|)
PŚEMITUJUCEM	(.|#|)pSEmitujutsEm(.|#|)
PŚEMJATELELI	(.|#|)pSEmjatElEli(.|#|)
PŚEMJELCALI	(.|#|)pSEmjEltsali(.|#|)
PŚEMJELCAŁO	(.|#|)pSEmjEltsawO(.|#|)
PŚEMJELCTEJ	(.|#|)pSEmjEltstej(.|#|)
PŚEMJELCYJO	(.|#|)pSEmjElts1jO(.|#|)
PŚEMJENJUJUCYMA	(.|#|)pSEmjEnjujuts1ma(.|#|)
PŚEMJEŃŠOWANEMU	(.|#|)pSEmjEjnSOwanEmu(.|#|)
PŚEMJEŃŠOWANEMU	(.|#|)pSEmjenSowanEmu(.|#|)
PŚEMJEŃŠTEJ	(.|#|)pSEmjEjnStej(.|#|)
PŚEMJEŃŠTEJ	(.|#|)pSEmjenStej(.|#|)
PŚEMJEŚONYMI	(.|#|)pSEmjESOn1mi(.|#|)
PŚEMJEŚOŠ	(.|#|)pSEmjESOS(.|#|)
PŚEMLATYM	(.|#|)pSEmlat1m(.|#|)
PŚEMNOŽMY	(.|#|)pSEmnOZm1(.|#|)
PŚEMNOŽMY	(.|#|)pSEmnOZmU(.|#|)
PŚEMNOŽYJU	(.|#|)pSEmnOZ1ju(.|#|)
PŚEMNOŽYŚ	(.|#|)pSEmnOZ1S(.|#|)
PŚEMOKACHMEJ	(.|#|)pSEmOkaxmej(.|#|)
PŚEMOKŚITEJ	(.|#|)pSEmOkSitej(.|#|)
PŚEMROCMEJ	(.|#|)pSEmrOtsmej(.|#|)
PŚEMRĚŠTEJ	(.|#|)pSEmrjiStej(.|#|)
PŚEMUCACHU	(.|#|)pSEmutsaxu(.|#|)
PŚEMUCNIŁA	(.|#|)pSEmutsniwa(.|#|)
PŚEMUCNYMA	(.|#|)pSEmutsn1ma(.|#|)
PŚEMUDRYMI	(.|#|)pSEmudr1mi(.|#|)
PŚEMURJOWANYMA	(.|#|)pSEmurjOwan1ma(.|#|)
PŚEMURJOWANYMA	(.|#|)pSEmurjowan1ma(.|#|)
PŚEMUŚIJU	(.|#|)pSEmuSiju(.|#|)
PŚEMUŚMY	(.|#|)pSEmuSm1(.|#|)
PŚEMUŚMY	(.|#|)pSEmuSmU(.|#|)
PŚEMUŚTEJ	(.|#|)pSEmuStej(.|#|)
PŚEMYCHMEJ	(.|#|)pSEm1xmej(.|#|)
PŚEMYJ	(.|#|)pSEm1j(.|#|)
PŚEMYKAŁEJ	(.|#|)pSEm1kawej(.|#|)
PŚEMYLI	(.|#|)pSEm1li(.|#|)
PŚEMYSLAŔ	(.|#|)pSEm1slar(.|#|)
PŚEMYSLOWANYMA	(.|#|)pSEm1slOwan1ma(.|#|)
PŚEMYSLOWANYMA	(.|#|)pSEm1slowan1ma(.|#|)
PŚEMYSLOWAŚ	(.|#|)pSEm1slOwaS(.|#|)
PŚEMYSLOWAŚ	(.|#|)pSEm1slowaS(.|#|)
PŚEMYSŁOJSKEJU	(.|#|)pSEm1swOjskeju(.|#|)
PŚEMYTA	(.|#|)pSEm1ta(.|#|)
PŚEMYWANEMU	(.|#|)pSEm1wanEmu(.|#|)
PŚEMYŁEJ	(.|#|)pSEm1wej(.|#|)
PŚEMYŚAM	(.|#|)pSEm1Sam(.|#|)
PŚEMYŠĆO	(.|#|)pSEm1StSO(.|#|)
PŚEMÓCOMA	(.|#|)pSEmUtsOma(.|#|)
PŚEMÓCOWANEGO	(.|#|)pSEmUtsOwanEgO(.|#|)
PŚEMÓCOWANEGO	(.|#|)pSEmUtsowanEgO(.|#|)
PŚEMÓCT	(.|#|)pSEmUtst(.|#|)
PŚEMÓDLUJOMY	(.|#|)pSEmUdlujOm1(.|#|)
PŚEMÓDLUJOMY	(.|#|)pSEmUdlujOmU(.|#|)
PŚEMÓDRICHMEJ	(.|#|)pSEmUdrixmej(.|#|)
PŚEMÓDRICHMEJ	(.|#|)pSEmUdriCmej(.|#|)
PŚEMÓGALI	(.|#|)pSEmUgali(.|#|)
PŚEMÓGAŁ	(.|#|)pSEmUgau(.|#|)
PŚEMÓGLI	(.|#|)pSEmUgli(.|#|)
PŚEMÓGŁA	(.|#|)pSEmUgwa(.|#|)
PŚEMÓLONEMU	(.|#|)pSEmUlOnEmu(.|#|)
PŚEMÓSĆOWANEJE	(.|#|)pSEmUstSOwanejE(.|#|)
PŚEMÓSĆOWANEJE	(.|#|)pSEmUstSowanejE(.|#|)
PŚEMÓTALI	(.|#|)pSEmUtali(.|#|)
PŚEMÓTANEJU	(.|#|)pSEmUtaneju(.|#|)
PŚEMÓTAŚ	(.|#|)pSEmUtaS(.|#|)
PŚEMÓŽECYM	(.|#|)pSEmUZEts1m(.|#|)
PŚEMĚCHMY	(.|#|)pSEmjiCm1(.|#|)
PŚEMĚCHMY	(.|#|)pSEmjiCmU(.|#|)
PŚEMĚKAJOMEJ	(.|#|)pSEmjikajOmej(.|#|)
PŚEMĚKICH	(.|#|)pSEmjikix(.|#|)
PŚEMĚKICH	(.|#|)pSEmjikiC(.|#|)
PŚEMĚLI	(.|#|)pSEmjili(.|#|)
